time,flux,flux_err,quality
1385.9410249627751,0.9998064,3.060345e-05,8192
1385.9424138841653,0.9999188,3.0617928e-05,8192
1385.9438028055552,0.9999822,3.062308e-05,8192
1385.9451917269444,1.0000887,3.0625553e-05,8192
1385.9465806483342,0.9999579,3.0624604e-05,8192
1385.9479695697244,1.0000111,3.062581e-05,8192
1385.9493584911136,1.0000392,3.06284e-05,8192
1385.9507474125028,1.000028,3.0628613e-05,8192
1385.9521363338922,1.0000557,3.062829e-05,8192
1385.9535252552814,1.0000777,3.062738e-05,0
1385.9549141766713,0.99995613,3.062661e-05,0
1385.9563030980614,1.0000329,3.0627347e-05,0
1385.9576920194506,1.00004,3.0628773e-05,0
1385.95908094084,1.00005,3.062765e-05,0
1385.96046986223,1.0000379,3.062821e-05,0
1385.96185878362,1.0000787,3.0629708e-05,0
1385.9632477050093,1.0000898,3.062972e-05,0
1385.9646366263992,1.0000553,3.062678e-05,0
1385.966025547789,1.0001181,3.063018e-05,0
1385.9674144691785,0.9999664,3.0627114e-05,0
1385.9688033905684,1.0000048,3.062517e-05,0
1385.9701923119585,0.99996275,3.0627234e-05,0
1385.9715812333477,0.9999577,3.062748e-05,0
1385.9729701542713,1.0000691,3.0627147e-05,0
1385.9743590756607,1.0000504,3.062712e-05,0
1385.97574799705,1.0000304,3.0626852e-05,0
1385.9771369184398,0.9999902,3.062685e-05,0
1385.97852583983,0.99997497,3.06276e-05,0
1385.979914761219,0.99993646,3.06256e-05,0
1385.9813036826092,0.9999775,3.0624644e-05,0
1385.982692603999,0.9999327,3.062588e-05,0
1385.9840815249229,0.99992263,3.0625644e-05,0
1385.9854704463128,1.0000085,3.0627307e-05,0
1385.9868593677027,1.0000827,3.062778e-05,0
1385.9882482890919,1.0000436,3.0627587e-05,0
1385.989637210482,1.0000502,3.0627965e-05,0
1385.9910261314064,0.99999326,3.0628013e-05,0
1385.9924150527956,1.0000266,3.0627005e-05,0
1385.9938039741855,0.99997663,3.06261e-05,0
1385.995192895575,1.000055,3.062675e-05,0
1385.9965818164978,0.99998903,3.0626867e-05,0
1385.997970737887,0.99999267,3.0626663e-05,0
1385.999359659277,0.99996537,3.0627187e-05,0
1386.000748580667,0.99994695,3.062681e-05,0
1386.0021375015906,1.0000125,3.062656e-05,0
1386.0035264229807,0.9998613,3.062452e-05,0
1386.0049153443706,0.9999659,3.0625568e-05,0
1386.00630426576,0.99997187,3.0625662e-05,0
1386.0076931866843,1.0000298,3.0626376e-05,0
1386.0090821080742,0.9999269,3.062676e-05,0
1386.0104710294634,1.000005,3.0626616e-05,0
1386.0118599503878,0.9998939,3.0626794e-05,0
1386.0132488717777,0.99999845,3.0627267e-05,0
1386.0146377931671,1.0000168,3.062789e-05,0
1386.0160267140914,0.99996835,3.0626063e-05,0
1386.0174156354806,1.0000174,3.0625924e-05,0
1386.0188045564034,1.0000117,3.0629933e-05,0
1386.0201934777936,0.99998635,3.0626656e-05,0
1386.0215823991837,1.0000527,3.062688e-05,0
1386.0229713201072,1.0001107,3.0626994e-05,0
1386.024360241497,0.9999795,3.0626263e-05,0
