time,flux,flux_err,quality
2526.536048161231,1.0022649,0.0019349954,0
2526.5362796633317,1.0083482,0.0019368437,0
2526.5365111654323,1.0036949,0.0019354577,0
2526.536742667532,1.0043323,0.0019347004,0
2526.536974169633,1.00646,0.0019359286,0
2526.537205671966,1.0022625,0.0019333044,0
2526.5374371740663,1.0036099,0.001935498,0
2526.537668676167,1.0021611,0.0019344081,0
2526.5379001782676,0.9989037,0.0019320223,0
2526.5381316803678,1.0059283,0.0019351403,0
2526.538363182701,1.0052294,0.0019349157,0
2526.538594684802,1.0036472,0.0019336682,0
2526.538826186901,1.0060625,0.0019347117,0
2526.539057689002,1.0039264,0.0019340329,0
2526.5392891913352,1.0013425,0.0019321672,0
2526.5395206934354,1.0072079,0.001936628,0
2526.539752195536,1.0045468,0.001934243,0
2526.5399836976367,1.0017289,0.001930933,0
2526.540215199737,0.9970943,0.0019300433,0
2526.54044670207,1.0006691,0.0019320849,0
2526.540678204171,1.003654,0.0019324886,0
2526.5409097062707,0.999784,0.0019315864,0
2526.5411412083713,1.0021806,0.0019320762,0
2526.541372710472,1.0008523,0.0019310651,0
2526.5416042128045,1.0011088,0.001932044,0
2526.541835714905,0.9998574,0.0019315488,0
2526.5420672170058,1.0007088,0.001929663,0
2526.542298719106,1.0020022,0.0019316613,0
2526.542530221439,1.0071073,0.0019346325,0
2526.5427617235405,1.003094,0.0019328201,0
2526.542993225641,1.0030955,0.0019317734,0
2526.5432247277417,1.001235,0.0019318495,0
2526.5434562298424,0.9985,0.0019289897,0
2526.5436877321754,1.002193,0.0019316232,0
2526.5439192342756,1.0002359,0.0019327861,0
2526.5441507363767,0.9994198,0.0019293566,0
2526.5443822384764,1.0017722,0.0019307148,0
2526.54461374081,1.00234,0.001930445,0
2526.54484524291,1.0020406,0.0019328145,0
2526.54507674501,1.0014241,0.0019313607,0
2526.545308247111,1.0011704,0.0019299202,0
2526.5455397494443,1.0033318,0.0019322173,0
2526.545771251545,1.0003936,0.0019301305,0
2526.5460027536456,0.99756974,0.0019287235,0
2526.5462342557457,1.000978,0.0019294034,0
2526.5464657580787,0.9998356,0.0019292935,0
2526.54669726018,0.9970746,0.0019282422,0
2526.5469287622795,0.9999066,0.0019290334,0
2526.54716026438,1.0021644,0.001930214,0
2526.547391766481,0.9992387,0.0019285915,0
2526.5476232688134,0.9995672,0.0019287104,0
2526.5478547709145,1.0026737,0.0019306759,0
2526.5480862730146,0.9986879,0.0019285128,0
2526.548317775115,0.9980279,0.0019282656,1024
2526.548549277448,0.99980325,0.0019287796,0
2526.548780779549,1.0033072,0.0019302986,0
2526.5490122816486,0.99986315,0.0019292507,0
2526.5492437837493,1.0013733,0.0019296259,0
2526.5494752860827,1.0014613,0.0019285177,0
2526.5497067881824,1.0005586,0.0019290084,0
2526.5499382902835,1.0002954,0.0019287965,0
2526.5501697923837,1.0041988,0.0019306986,0
2526.5504012947176,0.9994585,0.0019269366,0
2526.5506327968187,1.0001577,0.0019300797,0
2526.5508642989194,0.99953455,0.0019270312,0
2526.551095801019,1.0037711,0.0019293865,0
2526.551327303353,0.997195,0.0019272818,0
2526.551558805453,1.0016717,0.001928828,0
2526.5517903075533,1.0016094,0.0019290929,0
2526.5520218096535,0.9994294,0.0019265802,0
2526.5522533119874,1.0012811,0.0019280086,0
2526.552484814087,0.99822176,0.0019332294,0
2526.552716316188,1.0019094,0.0019280312,0
2526.5529478185213,1.0007812,0.0019284231,0
2526.553179320621,0.99866754,0.0019266681,0
2526.553410822722,1.0015996,0.0019266926,0
2526.5536423248222,0.9991046,0.0019266178,0
2526.5538738271553,1.001025,0.0019274189,0
2526.554105329256,0.9987177,0.0019257049,0
2526.5543368313565,1.0007845,0.001926615,0
2526.5545683334567,1.0000889,0.0019273947,0
2526.5547998357897,0.9989212,0.0019261776,0
