time,flux,flux_err,quality
2419.9917964630654,1.0006145,0.0020039745,0
2419.993185351275,1.0015788,0.0020038201,0
2419.9945742394834,1.0014558,0.0020043182,0
2419.995963127693,1.001934,0.0020039235,0
2419.9973520159024,1.0005921,0.0020036765,0
2419.998740904112,1.0000225,0.002003434,0
2420.0001297920885,0.99675035,0.0020026541,0
2420.001518680297,1.0003836,0.0020048034,0
2420.0029075685065,0.9996578,0.0020083066,0
2420.0042964567165,1.0005141,0.002004065,0
2420.0056853449255,1.0027183,0.002006134,0
2420.007074233134,0.9990441,0.0020025778,0
2420.0084631213435,1.0028292,0.002007764,0
2420.009852009553,0.99868655,0.002004766,0
2420.0112408977625,1.0006728,0.0020061778,0
2420.012629785739,1.0004966,0.002005726,0
2420.0140186739486,1.0010227,0.002006495,0
2420.015407562158,1.0017444,0.0020073825,0
2420.0167964503676,1.0002999,0.0020065142,0
2420.0181853385766,1.0038247,0.0020093808,0
2420.019574226785,1.0023632,0.0020077382,0
2420.020963114762,1.000809,0.0020074472,0
2420.0237408911803,1.0010079,0.0020072681,0
2420.025129779389,1.0014654,0.0020073466,0
2420.0265186675992,0.9980528,0.0020055496,0
2420.0279075558087,1.0017656,0.0020098805,0
2420.0292964437845,1.0012031,0.0020098195,0
2420.030685331994,1.0003223,0.002008073,0
2420.032074220204,1.0028402,0.0020123364,0
2420.0334631084133,1.0004352,0.0020099615,0
2420.034851996622,0.9970668,0.0020077005,0
2420.0362408845986,0.9988511,0.0020095962,0
2420.037629772808,0.9975667,0.002008945,0
2420.039018661017,0.998488,0.0020098302,0
2420.0404075492265,0.9978371,0.0020086959,0
2420.041796437435,0.9954739,0.0020107785,0
2420.0431853254117,1.0014606,0.0020120363,0
2420.044574213622,1.0007166,0.00201212,0
2420.0459631018307,0.9996115,0.0020116777,0
2420.0473519900393,1.0041701,0.002013694,0
2420.048740878017,1.0018468,0.0020144305,0
2420.0501297662263,1.0035157,0.0020144095,0
2420.051518654435,1.0015883,0.0020143478,0
2420.052907542644,0.9999182,0.002012978,0
2420.054296430621,0.99578416,0.0020111676,0
2420.0556853188305,0.99916476,0.002012203,0
2420.057074207039,0.9985339,0.002013613,0
2420.0584630952485,0.9970886,0.002014196,0
2420.059851983225,0.99759424,0.0020133567,0
2420.0612408714346,1.0001667,0.0020159339,0
2420.0626297596436,1.0020742,0.0020170964,0
2420.0640186478527,0.99734885,0.0020138626,0
2420.0654075358293,0.99940145,0.0020163525,0
2420.066796424039,1.0017966,0.002017996,0
2420.0681853122483,0.9979946,0.0020139578,0
2420.0695742002245,1.0015671,0.002018766,0
2420.0709630884335,0.9982957,0.0020168924,0
2420.072351976644,1.0025297,0.0020181856,0
2420.0737408648533,1.0011287,0.0020184668,0
2420.075129752829,0.99641305,0.002015861,0
2420.0765186410385,0.99839413,0.0020174538,0
2420.0779075292476,0.9965348,0.0020151061,0
2420.079296417224,0.9995394,0.0020201597,0
2420.0806853054337,1.0026842,0.0020207309,0
2420.0820741936423,0.9991033,0.0020188272,0
2420.0834630816184,1.0006776,0.0020203486,0
2420.084851969829,1.0015539,0.0020201101,0
2420.0862408580374,0.99987096,0.0020200275,0
2420.087629746013,1.00097,0.0020206207,0
2420.0890186342235,0.9994834,0.002019232,0
2420.0904075224335,1.0015098,0.0020217658,0
2420.0917964104096,1.0016247,0.0020226596,0
2420.093185298618,1.0006924,0.0020209702,0
2420.094574186828,1.0003716,0.002023079,0
2420.095963074805,0.99938,0.0020211025,0
2420.0973519630134,1.0012933,0.0020245595,0
2420.0987408512224,0.9973007,0.0020211702,0
2420.100129739199,1.001941,0.0020233216,0
2420.1015186274085,1.0000149,0.002022185,0
2420.102907515618,1.0002117,0.0020243688,0
2420.1042964035937,1.0016422,0.0020250378,0
2420.105685291803,0.9965904,0.0020215197,0
2420.1070741800136,1.0037113,0.0020282534,0
2420.1084630679898,0.99948967,0.0020239027,0
2420.1098519561983,0.99829465,0.002023573,0
2420.111240844408,0.99761975,0.0020224766,0
2420.112629732385,0.9988259,0.0020229735,0
2420.1140186205935,0.99766505,0.0020229076,0
2420.115407508569,0.9995542,0.0020242536,0
2420.1167963967796,1.0004399,0.0020250778,0
2420.118185284989,1.0024004,0.002024701,0
2420.1195741729657,1.0003668,0.002025384,0
2420.1209630611747,0.995702,0.0020232445,0
2420.1223519493838,1.0003835,0.002024081,0
2420.1237408373604,0.9993012,0.00202392,0
2420.12512972557,1.0029134,0.002026161,0
2420.1265186135465,1.0020547,0.0020254233,0
2420.1279075017555,1.0015563,0.0020253572,0
2420.1292963899646,0.9993599,0.0020238278,0
2420.130685277942,0.9988067,0.0020245363,0
2420.1320741661507,1.0044291,0.002029033,0
2420.1334630541264,0.99795187,0.00202483,0
2420.134851942337,0.9985102,0.0020234995,0
2420.136240830546,1.0007007,0.002024645,0
2420.137629718522,1.0023533,0.0020270178,0
2420.1390186067315,0.9995429,0.002026843,0
2420.1404074947077,0.9997484,0.002024881,0
2420.1417963829167,0.99873054,0.0020240464,0
2420.143185271126,1.0006847,0.002025957,0
2420.1445741591024,1.0012382,0.0020254431,0
2420.1459630473114,1.0024974,0.0020271912,0
2420.147351935289,0.99923205,0.0020241588,0
2420.1487408234984,0.9973776,0.0020232752,0
2420.150129711707,1.0000925,0.0020246843,0
2420.1515185996836,1.0012668,0.0020244932,0
2420.152907487893,1.0000869,0.0020243605,0
2420.1542963758693,0.9965682,0.0020224105,0
2420.1556852640783,1.0006421,0.0020248934,0
2420.157074152288,1.0010778,0.0020244534,0
2420.1584630402645,1.0020628,0.0020254606,0
2420.1598519284735,1.0025253,0.0020260056,0
2420.1612408164497,0.9988467,0.0020250452,0
