pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,pl_refname,sy_refname,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_instrument,disc_telescope,disc_refname,ra,rastr,dec,decstr,glon,glat,elon,elat,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbperstr,pl_orblpererr1,pl_orblper,pl_orblpererr2,pl_orblperlim,pl_orblperstr,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxstr,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbinclstr,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtperstr,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenstr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtstr,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepstr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolstr,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densstr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepstr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidstr,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurstr,sy_kmagstr,sy_umag,sy_umagerr1,sy_umagerr2,sy_umagstr,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_rmagstr,sy_imag,sy_imagerr1,sy_imagerr2,sy_imagstr,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_zmagstr,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w1magstr,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w2magstr,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w3magstr,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_w4magstr,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_gmagstr,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_gaiamagstr,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_tmagstr,pl_controv_flag,pl_tsystemref,st_metratio,st_spectype,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,sy_kepmagstr,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_rotpstr,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_projobliqstr,x,y,z,htm20,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampstr,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radjstr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radestr,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorstr,pl_ratdor,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,pl_trueobliqstr,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_icmagstr,rowupdate,pl_pubdate,st_refname,releasedate,dkin_flag,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorstr,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparstr,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_cmassjstr,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassestr,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_massjstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massestr,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassjstr,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassestr,pl_bmassprov,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinijstr,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msiniestr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffstr,st_met,st_meterr1,st_meterr2,st_metlim,st_metstr,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvstr,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_vsinstr,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumstr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggstr,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agestr,st_mass,st_masserr1,st_masserr2,st_masslim,st_massstr,st_dens,st_denserr1,st_denserr2,st_denslim,st_densstr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radstr,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmstr,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmrastr,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_pmdecstr,sy_plx,sy_plxerr1,sy_plxerr2,sy_plxstr,sy_dist,sy_disterr1,sy_disterr2,sy_diststr,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_bmagstr,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_vmagstr,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_jmagstr,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_hmagstr,sy_kmag,sy_kmagerr1,sy_kmagerr2
GJ 1061 d,d,GJ 1061,,,TIC 79611981,Gaia DR2 4848140361962951552,1,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-03,2020,Radial Velocity,Ground,La Silla Observatory,HARPS Spectrograph,3.6 m ESO Telescope,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,54.0032486,03h36m00.78s,-44.5143104,-44d30m51.52s,251.87109,-52.90138,30.85627,-60.77607,13.031,0.025,-0.032,0.0,"<div><span class=supersubNumber"">13.031</span><span class=""superscript"">+0.025</span><span class=""subscript"">-0.032</span></div>""",88.0,157.0,-71.0,0.0,"<div><span class=supersubNumber"">157</span><span class=""superscript"">+88</span><span class=""subscript"">-71</span></div>""",0.054,0.001,-0.001,0.0,0.054&plusmn;0.001,,,,,,2458306.4,3.1,-2.5,0.0,"<div><span class=supersubNumber"">2458306.4</span><span class=""superscript"">+3.1</span><span class=""subscript"">-2.5</span></div>""",0.53,,,1.0,&lt;0.53,,,,,,,,,,,0.6,0.1,-0.1,0.0,0.6&plusmn;0.1,,,,,,,,,,,,,,,,,,,,,6.610&plusmn;0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,10.988900&plusmn;0.000945,9.47068,0.0075428,-0.0075428,9.4706800&plusmn;0.0075428,0,BJD,[Fe/H],M5.5 V,,,,,,,,,,,,,,,0.4191024738605492,0.5769138523100392,-0.7010873864339295,1854862311,1.86,0.25,-0.25,0.0,1.86&plusmn;0.25,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-21,2020-03,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-02-27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00515999,0.00075512,-0.00072366,0.0,"<div><span class=supersubNumber"">0.00516</span><span class=""superscript"">+0.00076</span><span class=""subscript"">-0.00072</span></div>""",1.64,0.24,-0.23,0.0,"<div><span class=supersubNumber"">1.64</span><span class=""superscript"">+0.24</span><span class=""subscript"">-0.23</span></div>""",Msini,0.00515999,0.00075512,-0.00072366,0.0,"<div><span class=supersubNumber"">0.00516</span><span class=""superscript"">+0.00076</span><span class=""subscript"">-0.00072</span></div>""",1.64,0.24,-0.23,0.0,"<div><span class=supersubNumber"">1.64</span><span class=""superscript"">+0.24</span><span class=""subscript"">-0.23</span></div>""",2953.0,98.0,-98.0,0.0,2953&plusmn;98,-0.08,0.08,-0.08,0.0,-0.080&plusmn;0.080,1.06,0.01,-0.01,0.0,1.06&plusmn;0.01,2.5,,,1.0,&lt;2.5,-2.76955,0.02482,-0.02633,0.0,"<div><span class=supersubNumber"">-2.8</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",,,,,,7.0,0.5,-0.5,-1.0,&gt;7.0&plusmn;0.5,0.12,0.01,-0.01,0.0,0.12&plusmn;0.01,,,,,,0.156,0.005,-0.005,0.0,0.156&plusmn;0.005,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,833.7162183,0.1220404,-0.1220404,833.7162183&plusmn;0.1220404,745.286,0.11762,-0.11762,745.28600&plusmn;0.11762,-373.673,0.138232,-0.138232,-373.673000&plusmn;0.138232,272.245,0.0660788,-0.0660788,272.2450000&plusmn;0.0660788,3.67278,0.00089,-0.0009,"<div><span class=supersubNumber"">3.67278</span><span class=""superscript"">+0.00089</span><span class=""subscript"">-0.00090</span></div>""",,,,,12.7,0.2,-0.2,12.7&plusmn;0.2,7.523,0.02,-0.02,7.523&plusmn;0.020,7.015,0.044,-0.044,7.015&plusmn;0.044,6.61,0.021,-0.021
GJ 1061 c,c,GJ 1061,,,TIC 79611981,Gaia DR2 4848140361962951552,1,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-03,2020,Radial Velocity,Ground,La Silla Observatory,HARPS Spectrograph,3.6 m ESO Telescope,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,54.0032486,03h36m00.78s,-44.5143104,-44d30m51.52s,251.87109,-52.90138,30.85627,-60.77607,6.689,0.005,-0.005,0.0,6.689&plusmn;0.005,95.0,88.0,-85.0,0.0,"<div><span class=supersubNumber"">88.0</span><span class=""superscript"">+95.0</span><span class=""subscript"">-85.0</span></div>""",0.035,0.001,-0.001,0.0,0.035&plusmn;0.001,,,,,,2458300.2,1.9,-1.5,0.0,"<div><span class=supersubNumber"">2458300.2</span><span class=""superscript"">+1.9</span><span class=""subscript"">-1.5</span></div>""",0.29,,,1.0,&lt;0.29,,,,,,,,,,,1.4,0.2,-0.2,0.0,1.4&plusmn;0.2,,,,,,,,,,,,,,,,,,,,,6.610&plusmn;0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,10.988900&plusmn;0.000945,9.47068,0.0075428,-0.0075428,9.4706800&plusmn;0.0075428,0,BJD,[Fe/H],M5.5 V,,,,,,,,,,,,,,,0.4191024738605492,0.5769138523100392,-0.7010873864339295,1854862311,2.48,0.28,-0.29,0.0,"<div><span class=supersubNumber"">2.48</span><span class=""superscript"">+0.28</span><span class=""subscript"">-0.29</span></div>""",,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-21,2020-03,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-02-27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00547462,0.00072366,-0.00072366,0.0,0.00547&plusmn;0.00072,1.74,0.23,-0.23,0.0,1.74&plusmn;0.23,Msini,0.00547462,0.00072366,-0.00072366,0.0,0.00547&plusmn;0.00072,1.74,0.23,-0.23,0.0,1.74&plusmn;0.23,2953.0,98.0,-98.0,0.0,2953&plusmn;98,-0.08,0.08,-0.08,0.0,-0.080&plusmn;0.080,1.06,0.01,-0.01,0.0,1.06&plusmn;0.01,2.5,,,1.0,&lt;2.5,-2.76955,0.02482,-0.02633,0.0,"<div><span class=supersubNumber"">-2.8</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",,,,,,7.0,0.5,-0.5,-1.0,&gt;7.0&plusmn;0.5,0.12,0.01,-0.01,0.0,0.12&plusmn;0.01,,,,,,0.156,0.005,-0.005,0.0,0.156&plusmn;0.005,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,833.7162183,0.1220404,-0.1220404,833.7162183&plusmn;0.1220404,745.286,0.11762,-0.11762,745.28600&plusmn;0.11762,-373.673,0.138232,-0.138232,-373.673000&plusmn;0.138232,272.245,0.0660788,-0.0660788,272.2450000&plusmn;0.0660788,3.67278,0.00089,-0.0009,"<div><span class=supersubNumber"">3.67278</span><span class=""superscript"">+0.00089</span><span class=""subscript"">-0.00090</span></div>""",,,,,12.7,0.2,-0.2,12.7&plusmn;0.2,7.523,0.02,-0.02,7.523&plusmn;0.020,7.015,0.044,-0.044,7.015&plusmn;0.044,6.61,0.021,-0.021
GJ 1061 b,b,GJ 1061,,,TIC 79611981,Gaia DR2 4848140361962951552,1,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-03,2020,Radial Velocity,Ground,La Silla Observatory,HARPS Spectrograph,3.6 m ESO Telescope,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,54.0032486,03h36m00.78s,-44.5143104,-44d30m51.52s,251.87109,-52.90138,30.85627,-60.77607,3.204,0.001,-0.001,0.0,3.204&plusmn;0.001,81.0,145.0,-65.0,0.0,"<div><span class=supersubNumber"">145</span><span class=""superscript"">+81</span><span class=""subscript"">-65</span></div>""",0.021,0.001,-0.001,0.0,0.021&plusmn;0.001,,,,,,2458300.61,0.56,-0.72,0.0,"<div><span class=supersubNumber"">2458300.61</span><span class=""superscript"">+0.56</span><span class=""subscript"">-0.72</span></div>""",0.31,,,1.0,&lt;0.31,,,,,,,,,,,3.8,0.7,-0.7,0.0,3.8&plusmn;0.7,,,,,,,,,,,,,,,,,,,,,6.610&plusmn;0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,10.988900&plusmn;0.000945,9.47068,0.0075428,-0.0075428,9.4706800&plusmn;0.0075428,0,BJD,[Fe/H],M5.5 V,,,,,,,,,,,,,,,0.4191024738605492,0.5769138523100392,-0.7010873864339295,1854862311,2.43,0.24,-0.24,0.0,2.43&plusmn;0.24,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-21,2020-03,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-02-27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00431048,0.00050341,-0.00047195,0.0,"<div><span class=supersubNumber"">0.00431</span><span class=""superscript"">+0.00050</span><span class=""subscript"">-0.00047</span></div>""",1.37,0.16,-0.15,0.0,"<div><span class=supersubNumber"">1.37</span><span class=""superscript"">+0.16</span><span class=""subscript"">-0.15</span></div>""",Msini,0.00431048,0.00050341,-0.00047195,0.0,"<div><span class=supersubNumber"">0.00431</span><span class=""superscript"">+0.00050</span><span class=""subscript"">-0.00047</span></div>""",1.37,0.16,-0.15,0.0,"<div><span class=supersubNumber"">1.37</span><span class=""superscript"">+0.16</span><span class=""subscript"">-0.15</span></div>""",2953.0,98.0,-98.0,0.0,2953&plusmn;98,-0.08,0.08,-0.08,0.0,-0.080&plusmn;0.080,1.06,0.01,-0.01,0.0,1.06&plusmn;0.01,2.5,,,1.0,&lt;2.5,-2.76955,0.02482,-0.02633,0.0,"<div><span class=supersubNumber"">-2.8</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",,,,,,7.0,0.5,-0.5,-1.0,&gt;7.0&plusmn;0.5,0.12,0.01,-0.01,0.0,0.12&plusmn;0.01,,,,,,0.156,0.005,-0.005,0.0,0.156&plusmn;0.005,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,833.7162183,0.1220404,-0.1220404,833.7162183&plusmn;0.1220404,745.286,0.11762,-0.11762,745.28600&plusmn;0.11762,-373.673,0.138232,-0.138232,-373.673000&plusmn;0.138232,272.245,0.0660788,-0.0660788,272.2450000&plusmn;0.0660788,3.67278,0.00089,-0.0009,"<div><span class=supersubNumber"">3.67278</span><span class=""superscript"">+0.00089</span><span class=""subscript"">-0.00090</span></div>""",,,,,12.7,0.2,-0.2,12.7&plusmn;0.2,7.523,0.02,-0.02,7.523&plusmn;0.020,7.015,0.044,-0.044,7.015&plusmn;0.044,6.61,0.021,-0.021
